loss,accuracy,val_loss,val_accuracy
0.7117573022842407,0.7464629411697388,0.49621081352233887,0.8141666650772095
0.43245336413383484,0.8436852097511292,0.3759456276893616,0.8613333106040955
0.3816775679588318,0.8609166741371155,0.32770901918411255,0.878333330154419
0.35120153427124023,0.8725000023841858,0.31159406900405884,0.8863333463668823
0.3278041183948517,0.8789536952972412,0.2924520969390869,0.8880000114440918
0.3085140287876129,0.8865185379981995,0.2834526300430298,0.8948333263397217
0.29365843534469604,0.8912037014961243,0.282864511013031,0.8968333601951599
0.2804650664329529,0.8947499990463257,0.2712166905403137,0.8973333239555359
0.2674250602722168,0.9005833268165588,0.26626116037368774,0.8968333601951599
0.2571096122264862,0.9041388630867004,0.2626991271972656,0.8981666564941406
0.24816203117370605,0.906592607498169,0.2644578516483307,0.8981666564941406
0.2373172491788864,0.9112222194671631,0.26140111684799194,0.903166651725769
0.22766131162643433,0.9140185117721558,0.25138235092163086,0.9038333296775818
0.22000284492969513,0.9173426032066345,0.258680135011673,0.9035000205039978
0.21243397891521454,0.9208148121833801,0.2546742260456085,0.906166672706604
0.20426088571548462,0.9229259490966797,0.25364449620246887,0.9024999737739563
0.19922855496406555,0.9251574277877808,0.2532046437263489,0.9041666388511658
0.18967890739440918,0.9281666874885559,0.25782227516174316,0.9066666960716248
0.1848229318857193,0.9302036762237549,0.26668012142181396,0.9020000100135803
0.17785969376564026,0.9332870244979858,0.2597182095050812,0.9053333401679993
0.1738307774066925,0.9343055486679077,0.2585117816925049,0.9028333425521851
0.165193110704422,0.937759280204773,0.2624347507953644,0.9066666960716248
0.16354629397392273,0.9381018280982971,0.2653333246707916,0.906333327293396
0.15574650466442108,0.9409351944923401,0.2653975784778595,0.9058333039283752
0.1517973095178604,0.9426944255828857,0.2635834813117981,0.9054999947547913
0.14919956028461456,0.9437777996063232,0.25976237654685974,0.9104999899864197
0.1443246752023697,0.9460092782974243,0.269256591796875,0.909333348274231
0.13879971206188202,0.948018491268158,0.2824894189834595,0.9058333039283752
0.13699564337730408,0.9481852054595947,0.2825220227241516,0.9036666750907898
0.13027551770210266,0.9507870078086853,0.2773318588733673,0.9024999737739563
0.12717103958129883,0.9516851902008057,0.28939658403396606,0.9046666622161865
0.1248764842748642,0.9529536962509155,0.2903236746788025,0.9038333296775818
0.1188158243894577,0.954870343208313,0.29488787055015564,0.9071666598320007
0.11649439483880997,0.9562963247299194,0.2861524522304535,0.9039999842643738
0.11360128223896027,0.9567870497703552,0.30356740951538086,0.9075000286102295
0.11189234256744385,0.957787036895752,0.2954796254634857,0.9041666388511658
